Andorra la Vella	Andorra la Vella	AD	 42° 30' 28"	 1° 31' 16"	1.0	EU	-10	20430	3041563
les Escaldes	Escaldes-Engordany	AD	 42° 30' 26"	 1° 32' 03"	1.0	EU	-10	15853	3040051
Abu Dhabi	Abu Dhabi	AE	 24° 27' 04"	 54° 23' 49"	4.0	--	-10	1807000	292968
Al Ain City	Abu Dhabi	AE	 24° 11' 30"	 55° 45' 38"	4.0	--	-10	846747	292913
Al Shamkhah City	Abu Dhabi	AE	 24° 23' 34"	 54° 42' 28"	4.0	--	-10	61710	12047416
Ar Ruways	Abu Dhabi	AE	 24° 06' 37"	 52° 43' 50"	4.0	--	-10	25000	292688
Bani Yas City	Abu Dhabi	AE	 24° 18' 35"	 54° 37' 46"	4.0	--	-10	80498	12042052
Khalifah A City	Abu Dhabi	AE	 24° 25' 33"	 54° 36' 18"	4.0	--	-10	85374	8057551
Mohammed Bin Zayed City	Abu Dhabi	AE	 24° 20' 53"	 54° 33' 13"	4.0	--	-10	85000	13118447
Musaffah	Abu Dhabi	AE	 24° 21' 32"	 54° 28' 58"	4.0	--	-10	243341	12042053
Zayed City	Abu Dhabi	AE	 23° 39' 15"	 53° 42' 19"	4.0	--	-10	63482	291580
Ajman	Ajman	AE	 25° 24' 06"	 55° 28' 44"	4.0	--	-10	490035	292932
Al Hamidiyah	Ajman	AE	 25° 24' 00"	 55° 31' 45"	4.0	--	-10	27000	414901
Al Jurf	Ajman	AE	 25° 25' 05"	 55° 30' 28"	4.0	--	-10	18000	8475923
Ar Rumaylah	Ajman	AE	 25° 24' 12"	 55° 26' 00"	4.0	--	-10	86000	8475866
Abu Hayl	Dubai	AE	 25° 17' 03"	 55° 19' 54"	4.0	--	-10	18043	292991
Al Bada'a	Dubai	AE	 25° 13' 29"	 55° 16' 08"	4.0	--	-10	18816	13118420
Al Furjan	Dubai	AE	 25° 01' 35"	 55° 08' 44"	4.0	--	-10	26000	13118431
Al Karama	Dubai	AE	 25° 14' 24"	 55° 18' 04"	4.0	--	-10	75560	6691091
Al Mizhar First	Dubai	AE	 25° 14' 53"	 55° 26' 29"	4.0	--	-10	17498	13118422
Al Murar al Qadim	Dubai	AE	 25° 16' 33"	 55° 18' 27"	4.0	--	-10	19831	8226590
Al Muteena	Dubai	AE	 25° 16' 25"	 55° 19' 22"	4.0	--	-10	48739	13118421
Al Qusais 1	Dubai	AE	 25° 16' 45"	 55° 22' 12"	4.0	--	-10	48378	13118433
Al Safa	Dubai	AE	 25° 10' 14"	 55° 14' 00"	4.0	--	-10	15672	8469819
Al Waheda	Dubai	AE	 25° 17' 30"	 55° 20' 18"	4.0	--	-10	21608	6691079
Al Warqaa	Dubai	AE	 25° 11' 34"	 55° 25' 12"	4.0	--	-10	59111	8469658
Al Wasl	Dubai	AE	 25° 11' 56"	 55° 15' 20"	4.0	--	-10	22153	6691096
Ar Rashidiyah	Dubai	AE	 25° 13' 30"	 55° 23' 22"	4.0	--	-10	38425	291061
As Satwah	Dubai	AE	 25° 13' 19"	 55° 16' 29"	4.0	--	-10	40997	385024
Bur Dubai	Dubai	AE	 25° 15' 37"	 55° 17' 56"	4.0	--	-10	18698	7289825
Business Bay	Dubai	AE	 25° 11' 08"	 55° 16' 11"	4.0	--	-10	191000	13118432
Dayrah	Dubai	AE	 25° 16' 17"	 55° 18' 07"	4.0	--	-10	400000	292261
Dubai	Dubai	AE	 25° 04' 38"	 55° 18' 33"	4.0	--	-10	3790000	292223
Dubai Festival City	Dubai	AE	 25° 13' 18"	 55° 21' 26"	4.0	--	-10	77000	8541937
Dubai International Financial Centre	Dubai	AE	 25° 12' 38"	 55° 16' 40"	4.0	--	-10	36000	8541977
Dubai Internet City	Dubai	AE	 25° 05' 43"	 55° 09' 42"	4.0	--	-10	24000	8469811
Dubai Investments Park	Dubai	AE	 25° 00' 30"	 55° 09' 25"	4.0	--	0	160000	11048853
Dubai Marina	Dubai	AE	 25° 05' 07"	 55° 08' 47"	4.0	--	-10	120000	8469788
Dubai Silicon Oasis	Dubai	AE	 25° 07' 11"	 55° 23' 14"	4.0	--	-10	90000	13118424
Hatta	Dubai	AE	 24° 48' 03"	 56° 07' 38"	4.0	--	335	15324	292862
Hawr al 'Anz	Dubai	AE	 25° 16' 39"	 55° 20' 12"	4.0	--	-10	84661	8201275
International City	Dubai	AE	 25° 09' 50"	 55° 24' 36"	4.0	--	-10	120000	8469668
Jebel Ali	Dubai	AE	 25° 00' 09"	 55° 06' 29"	4.0	--	-10	210000	11524601
Jumayra	Dubai	AE	 25° 12' 29"	 55° 14' 59"	4.0	--	-10	39080	291775
Lahbab	Dubai	AE	 25° 02' 15"	 55° 35' 29"	4.0	--	-10	53079	13118439
Mankhul	Dubai	AE	 25° 14' 46"	 55° 17' 32"	4.0	--	-10	41244	8225407
Mirdif	Dubai	AE	 25° 13' 28"	 55° 24' 51"	4.0	--	-10	60288	8200824
Nayf	Dubai	AE	 25° 16' 17"	 55° 18' 12"	4.0	--	-10	53075	8226485
The Palm Jumeirah	Dubai	AE	 25° 06' 58"	 55° 08' 06"	4.0	--	-10	25500	6691113
Umm Suqaym	Dubai	AE	 25° 09' 18"	 55° 12' 37"	4.0	--	-10	16459	290581
Warisan	Dubai	AE	 25° 10' 03"	 55° 24' 25"	4.0	--	-10	108759	290503
Dibba Al-Fujairah	Fujairah	AE	 25° 35' 33"	 56° 15' 42"	4.0	--	-10	30000	292231
Dibba Al-Hisn	Fujairah	AE	 25° 37' 10"	 56° 16' 22"	4.0	--	-10	26395	292239
Fujairah	Fujairah	AE	 25° 06' 59"	 56° 20' 29"	4.0	--	-10	118933	292878
