Joshua Tree	California	US	 34° 08' 05"	-116° 18' 47"	-8.0	US	834.00		5361298
Kabul		AF	 34° 34' 01"	 69° 13' 01"	4.5	--	1788.29		1138958
Algiers		DZ	 36° 42' 00"	 3° 13' 01"	1.0	--	17.47		2507480
Annabah		DZ	 36° 50' 00"	 7° 49' 00"	1.0	--	2.14
Gardaia		DZ	 32° 23' 00"	 3° 49' 00"	1.0	--	442.91
Hassi Messaoud		DZ	 31° 40' 00"	 6° 09' 00"	1.0	--	153.02		2494029
Landers	California	US	 34° 15' 58"	-116° 23' 35"	-8.0	US	940.00
Oran		DZ	 35° 46' 00"	-0° 44' 59"	1.0	--	105.61		2485926
Palm Springs	California	US	 33° 49' 49"	-116° 32' 43"	-8.0	US	146.00		5380668
Pioneertown	California	US	 34° 09' 24"	-116° 29' 46"	-8.0	US	1236.00
Qustantinah		DZ	 36° 17' 00"	 6° 37' 00"	1.0	--	700.47
Rancho Mirage	California	US	 33° 44' 23"	-116° 24' 46"	-8.0	US	83.00		5386015
Santa Cruz	California	US	 36° 58' 27"	-122° 01' 51"	-8.0	US	11.00		5393052
Satif		DZ	 36° 11' 00"	 5° 25' 00"	1.0	--	1073.74		2481700
Sky's The Limit Obs.	California	US	 34° 04' 47"	-116° 02' 10"	-8.0	US	857.00
Tamanrasset		DZ	 22° 47' 00"	 5° 31' 00"	1.0	--	1381.36		2478216
Tindouf		DZ	 27° 40' 00"	-8° 08' 00"	1.0	--	392.47		2476301
Tlemcen		DZ	 35° 01' 00"	-1° 28' 00"	1.0	--	237.76		2475687
Huambo		AO	-13° 16' 00"	 16° 13' 00"	1.0	--	1691.59		3348313
Luanda		AO	-8° 51' 00"	 13° 14' 00"	1.0	--	73.15		2240449
Luena		AO	-11° 46' 00"	 19° 55' 00"	1.0	--	1349.20		3347719
Menongue		AO	-14° 38' 00"	 17° 44' 00"	1.0	--	1461.68		3347353
Namibe		AO	-15° 17' 00"	 12° 16' 00"	1.0	--	282.32		3347019
Soyo		AO	-6° 02' 00"	 12° 25' 00"	1.0	--	4.00		2236967
Mount Erebus		AQ	-77° 27' 25"	 167° 04' 48"	11.0	--	1886.81
St. John's		AG	 17° 07' 59"	-61° 46' 59"	-4.0	--	0.00		3576022
Buenos Aires		AR	-34° 19' 59"	-58° 29' 59"	-3.0	--	5.63		3435910
Byurakan		AM	 40° 20' 01"	 44° 17' 30"	3.0	--	1393.59		616791
Georgetown		SH	-7° 52' 47"	-14° 25' 11"	0.0	--	17.00		2411397
Adelaide	South Australia	AU	-34° 45' 59"	 138° 32' 12"	9.5	AU	0.00		2078025
Alice Springs	Northern Territory	AU	-23° 48' 00"	 133° 54' 00"	9.5	--	545.25		2077895
Avalon	New South Wales	AU	-33° 38' 01"	 151° 19' 57"	10.0	AU	18.50
Avalon	Victoria	AU	-38° 05' 06"	 144° 25' 48"	10.0	AU	2.65
Bendigo	Victoria	AU	-36° 45' 59"	 144° 16' 59"	10.0	AU	233.39		2176187
Brisbane	Queensland	AU	-27° 29' 59"	 153° 10' 00"	10.0	--	11.29		2174003
Canberra	ACT	AU	-35° 21' 00"	 149° 10' 00"	10.0	--	572.62		2172517
Christmas Island		AU	-10° 30' 00"	 105° 40' 00"	7.0	--	216.29
Cocos Island		AU	-12° 10' 59"	 96° 49' 59"	6.5	--	0.00
Coonabarabran		AU	-31° 16' 06"	 149° 04' 00"	10.0	AU	999.91		2170540
Culgoora		AU	-30° 18' 09"	 149° 33' 45"	10.0	AU	213.68
Darwin	Northern Territory	AU	-12° 25' 11"	 130° 50' 12"	9.5	--	13.59		2073124
Hobart	Tasmania	AU	-42° 52' 57"	 147° 19' 48"	10.0	AU	12.12		2163355
Ipswich	Queensland	AU	-27° 37' 59"	 152° 43' 00"	10.0	--	24.59		2162644
Kings Beach	Queensland	AU	-26° 48' 00"	 153° 05' 59"	10.0	--	10.71		8349254
Latham	ACT	AU	-35° 21' 00"	 149° 10' 11"	10.0	--	567.24		8349309
Learmonth	Western Australia	AU	-22° 14' 12"	 114° 04' 59"	8.0	--	7.72
Melbourne	Victoria	AU	-37° 51' 59"	 145° 07' 59"	10.0	AU	113.26		2158177
Molonglo		AU	-35° 22' 03"	 149° 25' 30"	10.0	--	738.00
Mount Pleasant		AU	-42° 48' 03"	 147° 26' 15"	10.0	--	22.03
Mount Stromlo		AU	-35° 19' 02"	 149° 00' 29"	10.0	--	751.86
New Castle	New South Wales	AU	-32° 47' 59"	 151° 49' 59"	10.0	AU	4.30
Parkes		AU	-33° 00' 00"	 148° 15' 45"	10.0	AU	374.45		2153778
Pearce	Western Australia	AU	-31° 40' 00"	 116° 01' 00"	8.0	--	42.30		2063705
Perth	Western Australia	AU	-31° 49' 59"	 116° 10' 00"	8.0	--	274.20		2063523
Richmond	New South Wales	AU	-33° 36' 00"	 150° 46' 59"	10.0	AU	19.61		2151650
Sale	Victoria	AU	-38° 06' 00"	 147° 09' 00"	10.0	AU	5.76		2150615
Siding Spring		AU	-31° 16' 04"	 149° 03' 45"	10.0	AU	996.45
Sydney	New South Wales	AU	-33° 54' 59"	 151° 16' 59"	10.0	AU	0.00		2147714
Townsville	Queensland	AU	-19° 15' 00"	 146° 46' 00"	10.0	--	6.94		2146142
Twentynine Palms	California	US	 34° 08' 08"	-116° 03' 15"	-8.0	US	606.00		5404198
Uppsala Sur		AU	-31° 16' 06"	 149° 04' 00"	10.0	AU	999.91
Innsbruck		AT	 47° 15' 35"	 11° 20' 23"	1.0	EU	580.00		2775220
Kanzelhoehe		AT	 46° 40' 07"	 13° 54' 29"	1.0	EU	931.17
Kuffner		AT	 48° 12' 08"	 16° 17' 44"	1.0	EU	257.34
Leopold Figl		AT	 48° 05' 00"	 15° 25' 30"	1.0	EU	374.75
Linz		AT	 48° 13' 59"	 14° 11' 23"	1.0	EU	295.52		2772400
Salzburg		AT	 47° 46' 48"	 13° 00' 00"	1.0	EU	437.29		2766824
Vandans		AT	 47° 05' 57"	 9° 51' 48"	1.0	EU	646.24		10629658
Vienna		AT	 48° 13' 00"	 16° 22' 00"	1.0	EU	166.22		2761369
Vols		AT	 47° 09' 07"	 11° 11' 41"	1.0	EU	2263.71
Freeport		BS	 26° 33' 00"	-78° 42' 00"	-5.0	US	3.71		3572375
Nassau		BS	 25° 03' 00"	-77° 28' 01"	-5.0	US	5.80		3571824
Al Manamah		BH	 26° 01' 00"	 50° 32' 59"	3.0	--	46.22		290340
Chittagong		BD	 22° 15' 00"	 91° 49' 59"	6.0	--	0.00		1205733
Dacca		BD	 23° 51' 00"	 90° 24' 00"	6.0	--	10.62		1185241
Bridgetown		BB	 13° 04' 00"	-59° 30' 00"	-3.0	--	20.68		3374036
Antwerp		BE	 51° 13' 00"	 4° 24' 00"	1.0	EU	8.98		2803138
Brussels	Brabant	BE	 50° 51' 00"	 4° 20' 59"	1.0	EU	18.24		2800866
